VV,crpname_eg,date,geometry,id,lat,lon
-19.464464986283367,water,20231016,,,23.455133268995898,75.44204089060945
-23.309981748458853,water,20231016,,,23.45922761656601,75.44787737742585
-25.96817024898616,water,20231016,,,23.45639308177028,75.44856402293367
-22.308775310231926,water,20231016,,,23.45607812970348,75.45337054148835
-21.49942412850531,water,20231016,,,23.455448223316278,75.4447874726407
-22.793417212937804,water,20231016,,,23.454503358101576,75.44959399119539
-21.75533925477817,water,20231016,,,23.493867011896118,75.69163653269929
-26.1635050002719,water,20231016,,,23.49071835186805,75.68854662791414
-22.01256097208239,water,20231016,,,23.490403481728816,75.69060656443757
-23.51663404890216,water,20231016,,,23.48914399365152,75.69129320994539
-22.315066223725246,water,20231016,,,23.48851424510075,75.69094988719148
-34.27971479830108,water,20231016,,,23.453873444202593,75.68305346385164
-25.757338650490425,water,20231016,,,23.45607812970348,75.68339678660554
-21.729095237689044,water,20231016,,,23.453243527299016,75.68339678660554
-9.248058682036476,water,20231016,,,23.383994134944814,75.75518121167626
-9.746811054971495,water,20231016,,,23.386830221700944,75.76616753980126
-9.856611915691008,water,20231016,,,23.386515103948167,75.76067437573876
-8.551908655342883,rice,20231016,,,23.386515103948163,75.8499382917544
-11.748238661251891,rice,20231016,,,23.383048759202662,75.85714806958642
-8.174996406767125,rice,20231016,,,23.38746045495797,75.84753503247704
-8.755335604507259,rice,20231016,,,23.381788247721442,75.84822167798485
-9.802629080618106,rice,20231016,,,23.38462438169242,75.85165490552392
-8.286450993324749,rice,20231016,,,23.38367901044685,75.86264123364892
-11.766585580049085,rice,20231016,,,23.38367901044685,75.85440148755517
-7.20596335998644,rice,20231016,,,23.393447521361814,75.86058129712548
-9.16991797120347,rice,20231016,,,23.394392822898475,75.8564614240786
-11.993422858225163,rice,20231016,,,23.394077723135936,75.85955132886376
-4.7813753523944404,rice,20231016,,,23.39596831046568,75.85268487378563
-9.307869447171061,rice,20231016,,,23.392502213078146,75.85714806958642
-6.6998942731980495,rice,20231016,,,23.392502213078146,75.8671044294497
11.009446006657999,rice,20231016,,,23.38399413494481,75.86264123364892
-8.998910057368034,rice,20231016,,,23.401009744721602,76.01095666333642
-10.011783343835814,rice,20231016,,,23.40132482798917,76.04116906568017
-8.485334776450225,rice,20231016,,,23.382418504960846,76.02949609204735
-7.175115650631581,rice,20231016,,,23.38430925869332,75.96357812329735
-9.124579957538325,rice,20231016,,,23.3877755704622,76.01988305493798
-18.254856927877682,rice,20231016,,,23.40227007329273,75.99482049390282
-10.272380923985725,rice,20231016,,,23.363824656555302,75.99859704419579
-11.131654577094356,rice,20231016,,,23.374855220265367,76.00649346753563
-7.981369493665889,rice,20231016,,,23.382733632456468,75.98726739331688
-8.550361712929874,rice,20231016,,,23.389666247747265,76.08614434644188
-7.760983180875418,rice,20231016,,,23.412037212869425,76.09575738355126
-14.702950588790195,rice,20231016,,,23.4038454671342,76.07550134107079
-10.171075399995452,rice,20231016,,,23.415187749291274,76.07206811353173
-7.295312913197743,rice,20231016,,,23.41298238167262,76.05455865308251
-8.804731647635487,rice,20231016,,,23.39596831046568,76.05318536206688
-6.201457365632532,rice,20231016,,,23.402585153560803,76.05902184888329
-11.216124161084286,rice,20231016,,,23.37485522026537,76.08339776441063
-7.961483532788456,rice,20231016,,,23.365085338848264,76.06108178540673
-9.229641765887246,rice,20231016,,,23.380212591508926,76.05043878003563
-10.38275633673755,rice,20231016,,,23.36130325602084,76.10502709790673
-9.34736957554562,rice,20231016,,,23.355629929587426,76.0487221662661
-6.934923676346693,rice,20231016,,,23.334825657512805,76.02262963696923
-8.132023369362505,rice,20231016,,,23.372018877241217,76.03018273755517
-11.612532099019626,rice,20231016,,,23.390296467512453,76.04528893872704
-9.451882337888446,rice,20231016,,,23.39659850024453,76.03258599683251
-11.982133926210977,rice,20231016,,,23.405105768708825,76.05112542554345
-9.486382945327069,rice,20231016,,,23.402585153560807,76.07309808179345
-10.27547821575077,rice,20231016,,,23.41046191652838,76.06211175366845
-7.4294619036905365,rice,20231016,,,23.39880414085312,76.06348504468407
-12.344395782639435,rice,20231016,,,23.396283405729974,76.05833520337548
-8.590169697547303,rice,20231016,,,23.38556974619292,76.05490197583642
-12.626244782994112,rice,20231016,,,23.39533811768794,76.07103814527001
-11.633064372461098,rice,20231016,,,23.389666247747265,76.07584466382471
-12.041363687829964,rice,20231016,,,23.390926684279297,76.06794824048485
-7.1338281996081445,rice,20231016,,,23.381788247721442,76.06314172193017
-23.506806977275257,water,20231109,,,23.455133268995898,75.44204089060945
-25.731720085855674,water,20231109,,,23.45922761656601,75.44787737742585
-21.572238386132483,water,20231109,,,23.45639308177028,75.44856402293367
-20.390793949991025,water,20231109,,,23.45607812970348,75.45337054148835
-25.04775110715127,water,20231109,,,23.455448223316278,75.4447874726407
-21.24765722298799,water,20231109,,,23.454503358101576,75.44959399119539
-21.10510619689442,water,20231109,,,23.493867011896118,75.69163653269929
-24.04044147909172,water,20231109,,,23.49071835186805,75.68854662791414
-25.474332151761615,water,20231109,,,23.490403481728816,75.69060656443757
-24.67510102759929,water,20231109,,,23.48914399365152,75.69129320994539
-15.97390690888002,water,20231109,,,23.48851424510075,75.69094988719148
-24.12543324387332,water,20231109,,,23.453873444202593,75.68305346385164
-26.262461064699636,water,20231109,,,23.45607812970348,75.68339678660554
-12.357893671723845,water,20231109,,,23.453243527299016,75.68339678660554
-8.639033343059383,water,20231109,,,23.383994134944814,75.75518121167626
-9.67330907256806,water,20231109,,,23.386830221700944,75.76616753980126
