id,crpname_eg,lat,lon,20231016,20231109,20231203,20231227,20240108,20240120,20240225,20240308,20240320,20240401,20240413,20240425
40,rice,23.382733632456468,75.98726739331688,-17.148250545881066,-22.20632730756651,-18.038622309746653,-16.01762947904823,-15.384428668221595,-16.50459742958491,-18.629977541696206,-18.65890298424513,-21.208646963951928,-19.58944038826231,-22.230992052356623,-15.716086388644918
41,rice,23.389666247747265,76.08614434644188,-17.38014660430236,-19.61232364891694,-13.177806098626574,-18.668107942655368,-14.922889914485328,-21.275093737081683,-22.224973903678052,-29.687624659858088,-22.13848686712631,-16.461872315295366,-18.53950858282355,-21.283204246270188
42,rice,23.412037212869425,76.09575738355126,-26.540260791604588,-26.830149954234543,-15.591481384634978,-15.641104889085112,-17.99722864143307,-21.63913495530902,-21.954384254222557,-18.111508511186628,-18.653002089244477,-18.21461185318091,-20.700920147328887,-17.412768083181007
43,rice,23.4038454671342,76.07550134107079,-19.350461981907184,-23.24093573906829,-20.68071901993989,-16.888065486538512,-21.003399942780398,-16.99373861079707,-19.405150045812768,-19.081194154031223,-23.176356473304487,-24.14242930257513,-17.686346410354773,-18.848091541490533
44,rice,23.415187749291277,76.07206811353173,-20.255699549165303,-19.5754006126693,-17.121454294152137,-20.16797152008995,-16.767369359986407,-20.840431232266997,-24.52857652048329,-29.59885800095682,-24.330475822560512,-26.98318166949637,-26.47567700927809,-34.66861367673808
45,rice,23.41298238167262,76.05455865308251,-19.328723448709574,-21.71271510931248,-19.56727122514939,-17.971622826345126,-14.76226709798382,-17.94661023881724,-17.31757113150101,-23.099611493584064,-29.33681183255232,-23.842103190691816,-26.31812625521917,-27.55981603008153
46,rice,23.39596831046568,76.05318536206688,-20.044039489730643,-28.236299121287352,-17.688729346036858,-15.782352678431856,-16.737578383123378,-19.01863037828055,-20.914058770018062,-17.629212915468283,-16.318856345503583,-20.234133444326776,-16.100691486983123,-23.881769768144707
47,rice,23.402585153560803,76.05902184888329,-16.357986343175416,-16.105668949602265,-12.561004637699432,-17.06295168319523,-16.458233653855935,-12.311137837079755,-18.483238565591783,-13.211310283690082,-16.72614947457012,-15.10638558904219,-12.483441787532612,-13.033389643565531
48,rice,23.37485522026537,76.08339776441063,-20.723118121219205,-19.335637278313776,-18.21718559243645,-17.273470597509608,-16.685823226667956,-18.031013694492728,-18.8177474136634,-20.83859887456873,-20.65861801223561,-19.376689309506272,-18.87333709590997,-22.66741827280137
49,rice,23.365085338848264,76.06108178540673,-18.82942319023816,-16.378978923661276,-13.215892635964847,-14.979142683909547,-19.001840903405903,-21.59983191273163,-18.429567634595944,-19.954934281558817,-25.12214483368893,-35.989143638559945,-30.2988727228204,-18.742195717663872
50,rice,23.38021259150893,76.05043878003563,-18.54747929687643,-19.87215822276325,-15.892667807795606,-20.884598219537796,-18.176302230398555,-20.212329005096528,-21.72841682925208,-22.02234270890153,-30.288290230802872,-18.90609374275964,-16.899648237880747,-17.81883832138365
51,rice,23.36130325602084,76.10502709790673,-21.15244889103729,-21.992154938818977,-20.688789620531512,-21.410601157869216,-16.40574969000347,-17.951331314260884,-18.18501297605577,-20.582437129075004,-21.464030373735685,-20.693868955054548,-20.797883499200637,-18.95275042589501
52,rice,23.355629929587423,76.0487221662661,-20.5254147024705,-18.67257100626887,-18.76807420127972,-17.03746911485507,-17.826950415783212,-18.853528744755117,-20.853484222154613,-17.82633835654044,-20.47253018558646,-24.066164330339937,-22.87870878069591,-19.10501468633003
53,rice,23.334825657512805,76.02262963696923,-21.6535299862079,-19.352270985415863,-17.769225265837797,-15.32119291686762,-13.87327384165033,-16.114904209327612,-24.29452013566561,-26.39122149098722,-25.74584140419354,-19.777716199426926,-17.271532342471776,-24.75765350753222
54,rice,23.372018877241217,76.03018273755517,-16.439541052489496,-18.0412447818802,-14.051180994437026,-13.772818951258587,-15.218951781450825,-15.025657203648738,-14.991439102877427,-15.381832756246414,-22.56354365776899,-18.194201292789533,-21.986468511969157,-25.520541665734008
55,rice,23.390296467512453,76.04528893872704,-16.45269576747351,-17.992734112951297,-15.86783874289532,-22.27512718191885,-19.137507243310232,-21.002426217522437,-16.296858400660877,-18.99830739962869,-20.644154380153484,-24.558886374110507,-19.87174469187132,-21.36586493886467
56,rice,23.39659850024453,76.03258599683251,-15.729526372092757,-15.478905619233776,-14.32821708660846,-14.55812709819054,-13.835581010464592,-14.820454712753236,-18.0948284112453,-15.072653718963604,-13.014726382475278,-12.08222708706893,-14.9900341345878,-15.155437276722578
57,rice,23.405105768708825,76.05112542554345,-16.499665627819052,-20.98562858503196,-20.50779231920968,-19.207258335369488,-16.13685308652331,-21.46455140677551,-16.937028618891624,-22.061236349934536,-29.228975271879616,-31.76023849136662,-15.225754288472196,-22.91462462502568
58,rice,23.402585153560807,76.07309808179345,-17.156185218779186,-22.77902507602657,-16.160984363631105,-23.32524604624973,-17.0405863687284,-19.05972511975623,-15.220878503067862,-20.55690642658491,-36.46490279400184,-18.827727625704217,-18.144395920040367,-22.020047190944485
59,rice,23.41046191652838,76.06211175366845,-18.50658035826069,-20.07668322788912,-14.6739263271576,-12.928171521892224,-14.355535386215363,-14.640349171114416,-17.926058629402583,-25.62327436846566,-17.90366246535474,-19.047714510815204,-22.13694380106771,-22.559438683327727
60,rice,23.39880414085312,76.06348504468407,-18.67557089610857,-14.721224415766171,-17.241094167069026,-14.774284777238272,-20.8658976540301,-14.389296236564642,-19.040036153782832,-16.530511261475596,-17.74075270826794,-17.052078153800835,-19.273833227997468,-15.071311168311407
61,rice,23.39628340572997,76.05833520337548,-21.82876678952631,-17.24637867435241,-18.79237390927796,-18.316759040311357,-18.088582755737463,-18.85426095113418,-19.49756252934207,-22.139236100330617,-20.2696854728818,-20.364811297441747,-20.57145559654684,-19.134068754559717
62,rice,23.38556974619292,76.05490197583642,-20.54478217604224,-22.19767560616615,-17.226495851213734,-13.153287306558942,-10.957489725066436,-18.91542943024787,-18.42203577915006,-15.842110679715816,-21.672794118424875,-23.630419045191797,-24.93501614916708,-25.394368641985345
63,rice,23.39533811768794,76.07103814527001,-19.425291837621227,-18.20864201873849,-18.467047550140933,-21.99197705524893,-16.133865927268364,-23.1827558704645,-21.48987218706399,-24.971013201251875,-21.58064472146046,-22.3124594876534,-21.83591785327102,-27.65204225925728
64,rice,23.389666247747265,76.07584466382471,-22.95116035279593,-18.7321190228036,-20.948564655994502,-18.889237747190425,-17.85267294161016,-26.95233898746435,-22.756475680413,-26.313729422856973,-20.27533832990141,-17.30083078311729,-19.01242099946513,-20.271754806786216
65,rice,23.390926684279297,76.06794824048485,-18.729405539980736,-20.83284282412268,-19.373145496116827,-17.350559652208233,-17.052637045042992,-24.62911560116564,-19.155884088712646,-18.822474036526685,-20.922824394759463,-22.51010797386096,-19.368361488985222,-18.6343921210027
66,rice,23.38178824772144,76.06314172193017,-20.463690462302875,-23.017786333962803,-13.184183637210854,-14.87052056293132,-11.904683021101214,-15.341371115077685,-17.79124351397212,-16.581901922464162,-19.607022862373537,-26.1875154710307,-20.465641834686277,-20.95680230479956
