id,crpname_eg,lat,lon,2023-10-15,2023-10-31,2023-11-16,2023-12-02,2023-12-18,2024-01-03,2024-01-19,2024-02-04,2024-02-20,2024-03-07,2024-03-23,2024-04-08,2024-04-24
1,water,23.455133268995898,75.44204089060945,-0.231788083910942,-0.3119266033172607,-0.3082549571990967,-0.3492537438869476,-0.0289511159062385,-0.0044916290789842,-0.4358974397182464,-0.5731092691421509,-0.3944790661334991,-0.3293680250644684,0.0553150549530983,-0.1548198610544204,-0.2935943007469177
2,water,23.45922761656601,75.44787737742585,-0.2413793057203292,-0.2865636050701141,-0.2718786597251892,-0.4054054021835327,-0.1312867403030395,0.0080910995602607,-0.4616321623325348,-0.4416776001453399,-0.4100974202156067,-0.2860246300697326,0.0516717322170734,-0.1490771472454071,-0.0962099134922027
3,water,23.45639308177028,75.44856402293367,-0.2419974356889724,-0.2987951934337616,-0.3271028101444244,-0.4859550595283508,-0.068445473909378,0.0006618133629672,-0.4600231647491455,-0.5227272510528564,-0.4100087881088257,-0.3287671208381653,0.0668536722660064,-0.1563706547021865,-0.2302309274673462
4,water,23.45607812970348,75.45337054148835,-0.2056737542152404,-0.2975609898567199,-0.2879708409309387,-0.3191489279270172,-0.0301475301384925,0.0093839252367615,-0.4157894849777221,-0.5711835622787476,-0.2651321291923523,-0.0103721776977181,0.1442006230354309,0.460737943649292,0.3423008918762207
5,water,23.45544822331628,75.4447874726407,-0.2731326520442962,-0.308523416519165,-0.3362930119037628,-0.4788540303707123,-0.123430959880352,0.0010270455386489,-0.4720930159091949,-0.7292006611824036,-0.4306839108467102,-0.3645485043525696,0.0536398477852344,-0.161797747015953,-0.3148661255836487
6,water,23.454503358101576,75.44959399119539,-0.2378752827644348,-0.3188928961753845,-0.3238095343112945,-0.4362204670906067,0.0415623448789119,-0.0043446775525808,-0.4242424368858337,-0.4813829660415649,-0.3553173840045929,-0.2798690795898437,0.0411334559321403,0.3100649416446686,0.4894810616970062
7,water,23.49386701189612,75.69163653269929,-0.1203585118055343,-0.1569230705499649,-0.4451345801353454,-0.1358885020017624,-0.1158480048179626,-0.0293984618037939,-0.2459016442298889,-0.5263158082962036,-0.0998925864696502,-0.1754385977983474,0.0467289723455905,0.0018214936135336,-0.2076372355222702
8,water,23.49071835186805,75.68854662791414,-0.1253644376993179,-0.1879194676876068,-0.4566929042339325,-0.1651205867528915,-0.0630498528480529,-0.0012820513220503,-0.3320610821247101,-0.737827718257904,-0.1278375089168548,-0.1812577098608017,0.039700374007225,-0.0234252996742725,-0.3132154047489166
9,water,23.490403481728816,75.69060656443757,-0.1749999970197677,-0.2239316254854202,-0.5196506381034851,-0.19140625,-0.0276679843664169,0.0,-0.2977941036224365,-0.9145299196243286,-0.0954773873090744,-0.1767288744449615,0.0503858365118503,-0.0334572494029998,-0.3100616037845611
10,water,23.48914399365152,75.69129320994539,-0.083717867732048,-0.2079510688781738,-0.3038673996925354,-0.1075441390275955,-0.0091286310926079,0.0060277273878455,-0.1693290770053863,-0.4029850661754608,-0.0541176460683345,-0.141052633523941,0.0840085297822952,0.0042052143253386,-0.1751634031534195
11,water,23.48851424510075,75.69094988719148,-0.0666666701436042,-0.1154929548501968,0.0,0.0,0.2136345654726028,0.25781911611557,0.2734749913215637,0.2669126689434051,0.2939330637454986,0.2765399813652038,0.1967094093561172,0.2392604649066925,0.1731160879135131
12,water,23.453873444202596,75.68305346385164,-0.1844660192728042,-0.2380952388048172,-0.2383900880813598,0.0117035107687115,-0.024911031126976,-0.0252476837486028,0.131672590970993,0.3325453102588653,0.4116891324520111,0.371536523103714,0.2364085614681244,0.3124374747276306,0.1879588812589645
13,water,23.45607812970348,75.68339678660554,-0.1345029175281524,-0.2213500738143921,-0.3872053921222687,-0.0231839250773191,-0.0722278729081153,-0.0178817063570022,-0.2047556191682815,-0.2920354008674621,-0.0709459483623504,-0.0862777307629585,0.0246153846383094,0.0839694663882255,-0.0858143642544746
14,water,23.453243527299016,75.68339678660554,-0.1197916641831398,-0.098532497882843,0.2009106427431106,0.2625175416469574,0.2883099019527435,0.4555555582046509,0.4986408948898315,0.3976970911026001,0.3865363597869873,0.3389876782894134,0.2172180116176605,0.2891368567943573,0.208939716219902
15,water,23.38399413494481,75.75518121167626,0.6230366230010986,0.689911961555481,0.7726141214370728,0.8814433217048645,0.8282017111778259,0.8668456673622131,0.88046795129776,0.5381839871406555,0.5318385362625122,0.4170354008674621,0.1770542562007904,0.423804223537445,0.368721455335617
16,water,23.386830221700944,75.76616753980126,0.1790356338024139,0.4737349450588226,0.7692058086395264,0.9113621711730956,0.8787096738815308,0.9078880548477172,0.9409593939781188,0.4789374768733978,0.4009163677692413,0.224984586238861,0.1257294416427612,0.166559487581253,0.0915254205465316
17,water,23.386515103948167,75.76067437573876,0.1875,0.2246415317058563,0.280342698097229,0.5235772132873535,0.7124537825584412,0.8146219253540039,0.8424603343009949,0.643040120601654,0.6218507289886475,0.3389141261577606,0.0886998772621154,0.2219626158475875,0.1745283007621765
18,rice,23.386515103948163,75.8499382917544,0.1751037389039993,0.6801512241363525,0.8973592519760132,0.9299134612083436,0.9165568947792052,0.8626609444618225,0.9145408272743224,0.3075965046882629,0.2610441744327545,0.161309003829956,0.0961968675255775,0.1744548231363296,0.1109717860817909
19,rice,23.383048759202666,75.85714806958642,0.1730703860521316,0.4327436089515686,0.7023018002510071,0.919028341770172,0.9149667024612428,0.902514100074768,0.9437052011489868,0.5422236919403076,0.4289940893650055,0.3024402260780334,-0.0039582583121955,0.2533724308013916,0.1093518063426017
20,rice,23.38746045495797,75.84753503247704,0.4237605333328247,0.7748080492019653,0.8554455637931824,0.8305687308311462,0.7873632907867432,0.4850615262985229,0.4360770583152771,0.27173912525177,0.3428367674350738,0.2222925871610641,0.1283264309167862,0.2159876972436905,0.135632187128067
21,rice,23.38178824772144,75.84822167798485,0.4217616617679596,0.2949495017528534,0.2439741343259811,0.2720542848110199,0.258770614862442,0.2592324316501617,0.2683846652507782,0.2161687165498733,0.2350061237812042,0.1992198377847671,0.1220010221004486,0.2287662774324417,0.1866537779569625
22,rice,23.38462438169242,75.85165490552392,0.1101573705673217,0.2537005245685577,0.6175021529197693,0.803851842880249,0.7758255004882812,0.6998570561408997,0.6973493695259094,0.1954976320266723,0.1362984180450439,0.0993197262287139,0.044856920838356,0.0972663685679435,0.1006575599312782
23,rice,23.38367901044685,75.86264123364892,0.2168476432561874,0.1911220699548721,0.2393632382154464,0.2081821113824844,0.2280701696872711,0.1483870893716812,0.2113064527511596,0.1286195218563079,0.1732750535011291,0.174809992313385,0.1142857149243354,0.1322701722383499,0.093644730746746
24,rice,23.38367901044685,75.85440148755517,0.1302549988031387,0.5201568007469177,0.7574123740196228,0.8915412425994873,0.8849804401397705,0.7439024448394775,0.7572681307792664,0.268634021282196,0.2294647544622421,0.1860465109348297,0.0894107967615127,0.1673728823661804,0.1069241613149643
25,rice,23.39344752136181,75.86058129712548,0.2046783566474914,0.293802946805954,0.6555514931678772,0.8700512051582336,0.8804477453231812,0.8422273993492126,0.901064932346344,0.3604651093482971,0.2734741866588592,0.177142858505249,0.1185011714696884,0.2242424190044403,0.1217326372861862
26,rice,23.394392822898475,75.8564614240786,0.5767727494239807,0.4428322613239288,0.5023148059844971,0.749382734298706,0.6416916251182556,0.5718157291412354,0.5661929845809937,0.4739501178264618,0.3867141306400299,0.2657381594181061,0.0450614467263221,0.2684283852577209,0.1638264060020446
27,rice,23.394077723135936,75.85955132886376,0.2238033562898636,0.7688860297203064,0.902931272983551,0.9035586714744568,0.908869743347168,0.8485045433044434,0.890586793422699,0.4463350772857666,0.3306170105934143,0.1956087797880172,0.0838852077722549,0.2417218536138534,0.051378808915615
28,rice,23.39596831046568,75.85268487378563,0.1385853886604309,0.7202664017677307,0.8528078198432922,0.7072641849517822,0.6174079179763794,0.2980281710624695,0.2923238575458526,0.1854379922151565,0.1773298233747482,0.1642458140850067,0.2131661474704742,0.1764705926179886,0.0790067687630653
29,rice,23.392502213078146,75.85714806958642,0.2914714217185974,0.5984800457954407,0.7672781944274902,0.8719689846038818,0.8491837382316589,0.7469387650489807,0.7614297866821289,0.3868421018123626,0.2729199826717376,0.1773444712162017,0.0819411277770996,0.2000000029802322,0.1354838758707046
30,rice,23.392502213078146,75.8671044294497,0.238300159573555,0.6630475521087646,0.8747345805168152,0.9177462458610536,0.8875413537025452,0.8784560561180115,0.903934895992279,0.4260391294956207,0.3145050704479217,0.1817741096019745,0.190476194024086,0.1340659409761428,0.1162790730595588
31,rice,23.38399413494481,75.86264123364892,0.5333031415939331,0.4250734448432922,0.3839759826660156,0.4934242665767669,0.4400785863399505,0.4504132270812988,0.4963108599185943,0.375545859336853,0.3767298758029938,0.3873105943202972,0.1881693005561828,0.4692737460136413,0.3423385322093963
32,rice,23.4010097447216,76.01095666333642,0.2215132117271423,0.6354638934135437,0.8539880514144897,0.853435754776001,0.8272099494934082,0.8247175812721252,0.7715548872947693,0.2196721285581588,0.2280701696872711,0.2011095732450485,0.1782945692539215,0.2414369285106659,0.1799729317426681
33,rice,23.40132482798917,76.04116906568017,0.7013274431228638,0.6168277263641357,0.5563218593597412,0.5574613809585571,0.4996938109397888,0.457602858543396,0.4760405719280243,0.3489187657833099,0.3485113978385925,0.3405099213123321,0.2788296043872833,0.3249126672744751,0.2938196659088135
34,rice,23.38241850496085,76.02949609204735,0.3253205120563507,0.5709946751594543,0.7699293494224548,0.8826947808265686,0.865608274936676,0.8785596489906311,0.8540687561035156,0.3294031023979187,0.2830449938774109,0.2369185984134674,0.2052401751279831,0.2885032594203949,0.2709832191467285
35,rice,23.38430925869332,75.96357812329735,0.4334975481033325,0.1789473742246627,0.2545697689056396,0.4041811823844909,0.511343777179718,0.479092001914978,0.5616012215614319,0.5901328325271606,0.6042780876159668,0.485807865858078,0.5147001147270203,0.6371014714241028,0.1588310003280639
36,rice,23.3877755704622,76.01988305493798,0.6121919751167297,0.6097859144210815,0.626423716545105,0.643669068813324,0.587649405002594,0.5577663779258728,0.5456628203392029,0.490660011768341,0.5968379378318787,0.5188179612159729,0.426075279712677,0.489123672246933,0.3911965191364288
37,rice,23.40227007329273,75.99482049390282,-0.1614654064178466,-0.1859504133462906,-0.1537290662527084,0.0649666041135788,0.0744125321507453,0.1455487459897995,0.1243781074881553,0.0944785252213478,0.1111984252929687,0.0701298713684082,0.0855635106563568,0.0611677467823028,0.0193905811756849
38,rice,23.363824656555305,75.99859704419579,0.4938875436782837,0.5569250583648682,0.8179829120635986,0.696300745010376,0.7700117826461792,0.8216010332107544,0.8523297309875488,0.6942148804664612,0.7587509155273438,0.7856789827346802,0.5645959377288818,0.3434873819351196,0.2887995839118957
39,rice,23.374855220265367,76.00649346753563,0.1651282012462616,0.7513020634651184,0.8865247964859009,0.8652759790420532,0.8233658075332642,0.322905033826828,0.305247038602829,0.5279421210289001,0.7394750118255615,0.7446998357772827,0.5722160935401917,0.1856400519609451,0.1618942767381668
40,rice,23.382733632456468,75.98726739331688,0.1633298248052597,0.4328754842281341,0.8186413645744324,0.8855764269828796,0.8878408670425415,0.9109631776809692,0.8796718120574951,0.4030571281909942,0.2836065590381622,0.1710963398218155,0.1155339777469635,0.1543624103069305,0.1367521435022354
41,rice,23.389666247747265,76.08614434644188,0.4735431969165802,0.5672570466995239,0.7840518951416016,0.7639411687850952,0.7736111283302307,0.7046688199043274,0.6277444958686829,0.2723492681980133,0.2327402085065841,0.248554915189743,0.1273972541093826,0.4566473960876465,0.2294654548168182
42,rice,23.412037212869425,76.09575738355126,0.2481389641761779,0.4721074402332306,0.754056990146637,0.739617109298706,0.7381284832954407,0.6590909361839294,0.543899655342102,0.2717351615428924,0.2985971868038177,0.2530904412269592,0.2107279747724533,0.2837837934494018,0.2399999946355819
43,rice,23.4038454671342,76.07550134107079,0.2153846174478531,0.5431861877441406,0.8452044129371643,0.8886132836341858,0.8977088928222656,0.8807843327522278,0.8384615182876587,0.3406442701816559,0.2754158973693847,0.1956009417772293,0.1401247382164001,0.2126144468784332,0.1636883467435836
44,rice,23.415187749291277,76.07206811353173,0.1902912557125091,0.7665198445320129,0.9162710309028624,0.8961437344551086,0.8857517838478088,0.8538078665733337,0.8175775408744812,0.3153266310691833,0.2159838080406189,0.1767642349004745,0.1428571492433548,0.1434820592403412,0.1394422352313995
45,rice,23.41298238167262,76.05455865308251,0.2358104139566421,0.3805888891220093,0.5230125784873962,0.8082191944122314,0.7687809467315674,0.737520158290863,0.7926440834999084,0.2340425550937652,0.2732191085815429,0.241197183728218,0.1160431206226348,0.2945562899112701,0.2456479668617248
46,rice,23.39596831046568,76.05318536206688,0.2827172875404358,0.7626903653144836,0.846325159072876,0.7724798917770386,0.815560519695282,0.8710821866989136,0.8574374318122864,0.6615208983421326,0.7197898626327515,0.7960441708564758,0.5224435329437256,0.6908212304115295,0.6314960718154907
47,rice,23.402585153560803,76.05902184888329,0.5772727131843567,0.5555555820465088,0.5172995924949646,0.4906924664974212,0.4708753526210785,0.4419134259223938,0.4299516975879669,0.3941908776760101,0.395180732011795,0.3637374937534332,0.3534100949764251,0.3658406734466553,0.3570608496665954
48,rice,23.37485522026537,76.08339776441063,0.2249999940395355,0.3219316005706787,0.5374149680137634,0.6146153807640076,0.6527643203735352,0.7175185084342957,0.6730543375015259,0.2320675104856491,0.2175469994544983,0.1641086190938949,0.1718388199806213,0.239592969417572,0.1548974961042404
49,rice,23.365085338848264,76.06108178540673,0.2405063360929489,0.8001946210861206,0.9352153539657592,0.904975175857544,0.9092084169387816,0.9205909371376038,0.8913857936859131,0.3325513303279876,0.2490421384572982,0.1599999964237213,0.1258366852998733,0.2059158086776733,0.1864009350538253
50,rice,23.38021259150893,76.05043878003563,0.1218836531043052,0.4569391012191772,0.8113207817077637,0.8875242471694946,0.9019160866737366,0.8908844590187073,0.8665777444839478,0.3855349719524383,0.3003886640071869,0.1833822876214981,0.1481608748435974,0.2739130556583404,0.1430526971817016
51,rice,23.36130325602084,76.10502709790673,0.1776315718889236,0.266306608915329,0.306004136800766,0.4571305513381958,0.3612463474273681,0.3074968159198761,0.2729468643665313,0.1699905097484588,0.1638242900371551,0.1552138328552246,0.1146025881171226,0.1454730480909347,0.1314072757959365
52,rice,23.355629929587423,76.0487221662661,0.3410583138465881,0.6264111995697021,0.8093437552452087,0.869835615158081,0.8728448152542114,0.8525158762931824,0.8655509352684021,0.435143768787384,0.3725247383117676,0.2655913829803467,0.1833404898643493,0.2377210259437561,0.2441121488809585
53,rice,23.334825657512805,76.02262963696923,0.2479726821184158,0.3356990814208984,0.4546868801116943,0.6408544778823853,0.682123064994812,0.6030375957489014,0.6492182016372681,0.2706872224807739,0.2512178122997284,0.2554695308208465,0.2015461027622223,0.2683100998401642,0.1949367076158523
54,rice,23.372018877241217,76.03018273755517,0.1951329410076141,0.401220440864563,0.4880772829055786,0.7015629410743713,0.7323866486549377,0.7008460164070129,0.7412095665931702,0.5611814260482788,0.5392473340034485,0.4291262030601501,0.156084656715393,0.1573165953159332,0.1401515156030655
55,rice,23.390296467512453,76.04528893872704,0.3598382771015167,0.3710128664970398,0.5663136839866638,0.7833837866783142,0.8875460028648376,0.92766273021698,0.931360960006714,0.7368962168693542,0.7497348785400391,0.566925048828125,0.2005456984043121,0.1879010051488876,0.262647271156311
56,rice,23.39659850024453,76.03258599683251,0.568965494632721,0.5901639461517334,0.7916266918182373,0.7919633984565735,0.8129496574401855,0.8014265298843384,0.7936072945594788,0.4099066853523254,0.4815894961357116,0.4053865075111389,0.4635904729366302,0.6334494948387146,0.6138361096382141
57,rice,23.405105768708825,76.05112542554345,0.2564664483070373,0.5908745527267456,0.8983050584793091,0.888529896736145,0.8960801959037781,0.8991708159446716,0.8508474826812744,0.3780564367771148,0.3064419031143188,0.2146204262971878,0.1569892466068267,0.2186093032360077,0.2236842066049575
